Pixel,WL,Used,ADC(1)
918,708.235,1,15994
919,708.529,1,15554
920,708.824,1,14378
921,709.118,1,13210
922,709.412,1,12758
923,709.706,1,12130
924,710,1,11320
925,710.313,1,10990
926,710.625,1,10466
927,710.938,1,9178
928,711.25,1,8184
929,711.563,1,8094
930,711.875,1,7661
931,712.188,1,7014
932,712.5,1,6756
933,712.813,1,6430
934,713.125,1,5933
935,713.438,1,5433
936,713.75,1,4844
937,714.063,1,4714
938,714.375,1,4290
939,714.688,1,4440
940,715,1,3916
941,715.313,1,3629
942,715.625,1,3464
943,715.938,1,2844
944,716.25,1,2936
945,716.563,1,2598
946,716.875,1,2664
947,717.188,1,2299
948,717.5,1,2126
949,717.813,1,2166
950,718.125,1,1890
951,718.438,1,1941
952,718.75,1,1794
953,719.063,1,1551
954,719.375,1,1594
955,719.688,1,1467
956,720,1,1451
957,720.294,1,1165
958,720.588,1,1156
959,720.882,1,1098
960,721.177,1,1037
961,721.471,1,1109
962,721.765,1,1036
963,722.059,1,1044
964,722.353,1,1043
965,722.647,1,841
966,722.941,1,897
967,723.235,1,720
968,723.529,1,911
969,723.824,1,802
970,724.118,1,610
971,724.412,1,802
972,724.706,1,750
973,725,1,671
974,725.294,1,857
975,725.588,1,659
976,725.882,1,742
977,726.177,1,698
978,726.471,1,646
979,726.765,1,586
980,727.059,1,697
981,727.353,1,580
982,727.647,1,561
983,727.941,1,716
984,728.235,1,587
985,728.529,1,627
986,728.824,1,556
987,729.118,1,539
988,729.412,1,646
989,729.706,1,540
990,730,1,646
991,730.25,1,503
992,730.5,1,526
993,730.75,1,626
994,731,1,534
995,731.25,1,562
996,731.5,1,611
997,731.75,1,471
998,732,1,479
999,732.25,1,646
1000,732.5,1,618
1001,732.75,1,566
1002,733,1,439
1003,733.25,1,402
1004,733.5,1,510
1005,733.75,1,578
1006,734,1,478
1007,734.25,1,414
1008,734.5,1,461
1009,734.75,1,435
1010,735,1,527
1011,735.25,1,528
1012,735.5,1,487
1013,735.75,1,460
1014,736,1,385
1015,736.25,1,480
1016,736.5,1,550
1017,736.75,1,452
1018,737,1,387
1019,737.25,1,550
1020,737.5,1,526
1021,737.75,1,427
1022,738,1,497
1023,738.25,1,590
1024,738.5,1,363
1025,738.75,1,662
1026,739,1,368
1027,739.25,1,427
1028,739.5,1,438
1029,739.75,1,338
1030,740,1,456
1031,740.313,1,456
1032,740.625,1,564
1033,740.938,1,360
1034,741.25,1,376
1035,741.563,1,452
1036,741.875,1,360
1037,742.188,1,541
1038,742.5,1,364
1039,742.813,1,390
